"longitude","latitude","cluster"
-103.473871,45.596611,1
-78.841729,39.011361,6
-99.403418,40.178766,3
-99.844194,34.745971,3
-78.87161,35.368635,7
-118.987169,43.064449,1
-99.662805,36.80035,3
-84.912432,32.731549,7
-95.393037,29.857273,3
-95.827149,41.688584,2
-86.103766,38.186454,2
-93.992582,40.34562,2
-89.083376,30.416536,7
-81.091565,40.292318,6
-94.374434,32.547991,3
-80.386498,39.279182,6
-82.96329,34.348733,7
-102.610047,35.840244,3
-95.109642,35.232431,3
-99.730774,33.175964,3
-82.931485,36.452089,7
-101.047963,40.537234,3
-98.029267,30.061225,3
-82.981307,35.558882,7
